Prov Number,Clinic,Division,District,Specialty,Region,Prenatal Care,Postpartum Care,Imm: Child Combo 2,Antidep Med: Contacts,Antidep Med: 84 Days,Antidep Med: 180 Days,Mental Hosp FU: 7 Day,Total PMPM,PCP consult ratio n M'car,PCP consult ratio M'care,% Female-non medicare,% Female-medicare,Avg Age-non medicare,Avg Age-medicare,Panel size-non medicare,Panel size-medicare,ER Visits/1000 non M'care,ER Visits/1000 M'care,% panel vst seen by PCP,% PCP schedule for panel,URI: Appropriate Tx,Pharyngitis: Testing,AOD: Initiation of Tx,Util: 1st Line antib use,ER Visit/1000 non-m'care,PCI ratio non-m'care,MRI/1000 enr-m'care,MRI/1000 enr-NON m'care,CT/1000enr-m'care,CT/1000enr-non m'care,Lab/1000 enr-m'care,Lab/1000 enr-NON m'care,% Generic Rx,CAD: Chol Mgt-LDL Screen,Well-Child Visit 15MO: 6+,Well-Child 3-6 YO,Well-Care Adolescent,Asthma Appropriate Meds,Screen: Chlamydia,Panel - % Medicare,PCP consult ratio,CT-MRI/1000enr-m'care,CT-MRI/1000enr-non m'care,CT-MRI/1000enr-m'care&non,AOD: Engagement of Tx,CAD: Beta Blocker Persist,Total panel size,Panel Inx:agg Pat inx #2,Controlling HBP,Panel Inx:agg Pat inx #1,Child Access 7-11YO,DM: HbA1c Test,DM: Retinal Exam,DM: LDL Screen (Annual),DM: LDL<100 (Annual),DM: LDL<130,DM: Nephropathy,Pri Care Qlty Incent Idx,Screen: Breast CA (40-69),Screen: Cervical CA,Listen carefully to you?,Explain understandably?,Spend enough time w/ you?,Respect what you said?,Your best interests 1st?,Info to diagnose/treat,Knowledge of medical hx,Helpful-clinical staff,Courtesy/Respect-clinical,Helpful-office staff,In exam room w/in 15 min,Wait time explanation,Clinician rating (0-10),Help/advice you needed,Urgent care when wanted,Appt for care when wanted,Get PCP you're happy with,Ease of seeing specialist,Get care believed nec,Overall Health Care,Courtesy/Respect-office
18518,RCC,HPD,EWNI,FAMILY MEDICINE,NTWK,0.6666666667,0.3333333333,0,0,0.3333333333,0.3333333333,0.5,263.1213254,2.782546495,2.074074074,0.5020408163,0.5841836735,33.79483794,73.93877551,694.1666667,32.66666667,0.0749096043,0.5538461538,0, ,0.8421052632,0.4545454545,0.2857142857,0.6849315068,0.0718352601,2.680861627,0.1524390244,0.0662566437,0.3668602874,0.0547984714,0.2341650672,0.2356109054,0.6999282125,0.875,0,0.7391304348,0.3725490196,1,0.4347826087,0.0449438202,2.687732342,0.5203550658,0.1210078223,0.1389595917,0.1428571429, ,726.8333333,0.5927272727,0,0.686440678,0.8888888889,0.9545454545,0.6363636364,0.9545454545,0,0,0.9772727273,0.6211512718,0.7404580153,0.8051948052,0.7352941176,0.6857142857,0.5714285714,0.7142857143,0.6571428571,0.5588235294,0.5142857143,0.6285714286,0.7352941176,0.6285714286,0.875,0.75,0.6285714286,0.3428571429,0.4545454545,0.2857142857,0.8285714286,0.8387096774,0.8064516129,0.5714285714,0.7142857143
18519,COF,HPD,CWA,FAMILY MEDICINE,NTWK,0.6666666667,0, ,0.125,0.75,0.625,1,336.5608889,1.373177843,0.9913793103,0.4747822932,0.4460887949,39.62082729,69.45454546,459.3333333,39.41666667,0.163281301,0.3037974684,0, ,0.625,0.6666666667,0.2,0.5379310345,0.1542428299,1.422407267,0.1271294177,0.1001458646,0.1776649746,0.0500729323,0.249475891,0.2210242588,0.7347261792,0.7333333333,0.5,0.75,0.2526315789,0.8888888889,0.375,0.0790309106,1.317955112,0.3047232098,0.1502187969,0.162406015,0, ,498.75,0.5107361963,0,0.6198501873,0.8181818182,0.9285714286,0.6428571429,0.8095238095,0,0,0.9047619048,0.5517799353,0.6829268293,0.6302521008,0.9318181818,0.9318181818,0.8636363636,0.9318181818,0.9302325581,0.8636363636,0.9545454545,0.9318181818,0.9772727273,0.8863636364,0.8837209302,0.6666666667,0.9545454545,0.75,0.5789473684,0.5641025641,0.925,0.9166666667,0.9166666667,0.8,0.8863636364
18520,TSC,GPD,TAC,FAMILY MEDICINE,SO, , , , , , , , , , , , , , , , , , , , , , , ,0.9230769231, , , , , , , , ,0.6833333333, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18521,APM,HPD,CWA,FAMILY MEDICINE,NTWK,1,0.5,0,0,0.5,0.5, ,266.3285285,1.980501393,1.172839506,0.4547841307,0.3716216216,39.0915986,67.78716216,285.6666667,24.66666667,0.227535268,0.2,0, ,1,0.2,0,0.4838709677,0.2246368898,2.178962881,0.2,0.121912989,0.1714530647,0.0557491289,0.2115384615,0.1558803062,0.6871381827,0.7777777778,0.5,0.3333333333,0.2608695652,0.8571428571,0.6,0.0794844253,1.831818182,0.3705228489,0.1785276718,0.1933425708,0,1,310.3333333,0.4693877551,0,0.5642857143,0.8666666667,0.6470588235,0.4117647059,0.7058823529,0,0,0.8235294118,0.4905063291,0.6417910448,0.6911764706,0.8039215686,0.8823529412,0.82,0.86,0.862745098,0.7254901961,0.8823529412,0.74,0.86,0.7647058824,1,0.875,0.7843137255,0.625,0.5652173913,0.6326530612,0.7708333333,0.7608695652,0.8913043478,0.693877551,0.8431372549
18522,FMY,HPD,CWA,FAMILY MEDICINE,NTWK,0.7777777778,0.4444444444,0.2,0.3333333333,0.5555555556,0.4444444444,0,255.8813708,2.165322581,1.4,0.5159610595,0.7945205479,34.08705003,69.56849315,736.1666667,24.33333333,0.2621677058,0.9852216749,0, ,1,1,0.5,0.6951219512,0.2830465292,2.137604859,0.2868852459,0.0747110043,0.3111111111,0.065202331,0.1018276762,0.087782509,0.7909324886,0.8571428571,0,0.4782608696,0.2049180328,1,0.4444444444,0.0319964935,2.07464455,0.5894736842,0.1399133352,0.1538461538,0,0,760.5,0.5287049399,0.0217391304,0.5895061728,0.8,0.875,0.6875,0.71875,0.03125,0.03125,0.875,0.5175953079,0.5857142857,0.6770186335,0.71875,0.7096774194,0.5625,0.71875,0.625,0.53125,0.65625,0.5,0.59375,0.5,0.935483871,0.6875,0.5806451613,0.4193548387,0.5333333333,0.3666666667,0.7741935484,0.8064516129,0.8709677419,0.6333333333,0.5
18523,DCL,HPD,EWNI,FAMILY MEDICINE,NTWK, , , , , , , ,302.3935714,3.777777778,1.428571429,0.3945720251,0.52,37.5908142,75.2,79.83333333,4.166666667,0.1422475107,0.1666666667,0, , , , ,0.4166666667,0.0251470588,5.6692607, , , ,0.0514999356,0.25,0.1062801932,0.6959349593, , , , , , ,0.0496031746,3.294117647, ,0.0514999356,0.0489775928, , ,84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18524,NON,HPD,-,FAMILY MEDICINE,-, , , , , , , , , , , , , , , , , , , , , , , ,0.2, , , , , , , , ,0.5925925926, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18525,DCL,HPD,EWNI,FAMILY MEDICINE,NTWK,0,0, ,0,1,0, ,238.5328349,4.178571429,2,0.5177222545,0.5512820513,39.93724579,71.57692308,143.4166667,6.5,0.1808947332, ,0, , ,0,1,0.358974359,0.197278451,4.333164257, ,0.1081392834,0.25,0.0620689655,0.2763157895,0.154822335,0.7870619946,1, ,0,0.2,0.6666666667,0.6,0.0433574208,3.876923077,0.25,0.1693719125,0.1754385965,1, ,149.9166667,0.4659090909,0.0357142857,0.5955882353,0.6,0.8,0.5,0.6,0,0,0.9,0.4730538922,0.4545454545,0.7058823529,0.4117647059,0.4117647059,0.4375,0.5,0.5882352941,0.5294117647,0.4705882353,0.4705882353,0.7647058824,0.6470588235,0.9411764706,0,0.5294117647,0.625,0.5625,0.6666666667,0.6875,0.75,0.8125,0.25,0.8235294118
18526,VAM,HPD,CWA,FAMILY MEDICINE,NTWK,0.6666666667,0.3333333333,1,0,0.3333333333,0, ,141.3257011,3.565656566,1.304347826,0.5479638009,0.5636363636,30.06334842,70.37575758,184.1666667,13.75,0.1523229246,0.1481481481,0, ,1,0.5,0,0.7564102564,0.1841864962,2.802892121, ,0.0815217391,0.0714285714,0.0161290323,0.0245901639,0.0470162749,0.7535714286,1,0,0.2727272727,0.1875,1,0.4,0.0694736842,3.139344262,0.0714285714,0.0977092607,0.095959596,0, ,197.9166667,0.488372093,0,0.5405405405,0.8823529412,0.8333333333,0.4166666667,0.75,0,0,0.6666666667,0.4812834225,0.7419354839,0.5675675676,0.8620689655,0.8275862069,0.7586206897,0.8275862069,0.8620689655,0.6206896552,0.7586206897,0.6428571429,0.7037037037,0.4827586207,0.6785714286,0.5789473684,0.6206896552,0.3703703704,0.2692307692,0.2592592593,0.7142857143,0.68,0.6538461538,0.5714285714,0.5172413793
18527,JAL,HPD,CWA,FAMILY MEDICINE,NTWK,1,1, ,0.5,1,1, ,340.3587319,2.400696864,1.758865248,0.4755542059,0.5750350631,43.24202855,73.60168303,274.4166667,59.41666667,0.2041783644,0.3011040482, , ,1,1,0.3333333333,0.7105263158,0.2128051762,2.278140209,0.1525423729,0.0875050133,0.1891009111,0.1020259437,0.2130841121,0.2465116279,0.7506524318,0.8181818182, ,0.3333333333,0.2162162162,1,0.4285714286,0.1779830255,2.189252336,0.3402517863,0.1895941955,0.2156786388,0.3333333333,1,333.8333333,0.5804878049,0,0.7129909366,0.8571428571,0.9333333333,0.5333333333,0.8666666667,0,0,0.9,0.6184210526,0.7831325301,0.7397260274,0.9166666667,0.9375,0.7916666667,0.9375,0.875,0.7916666667,0.9375,0.8125,0.8958333333,0.8333333333,0.914893617,0.75,0.9375,0.6808510638,0.7173913043,0.6595744681,0.9787234043,0.9318181818,0.9333333333,0.847826087,0.875
18528,VAC,HPD,CWA,FAMILY MEDICINE,NTWK,1,0.6666666667,0,0.3333333333,0,0, ,232.4047281,3.047904192,0.1428571429,0.5291225416,0.4468085106,36.92813918,72.02659575,220.3333333,15.66666667,0.1906231562, ,0, ,0.7777777778,0.25,0,0.6050420168,0.1561688755,3.306130952,0.1333333333,0.1039172277, ,0.0772727273,0.3428571429,0.1083870968,0.747681796,1,0,0.7272727273,0.2727272727,1,0,0.0663841808,2.464114833,0.1333333333,0.1810774106,0.177589852,0,0,236,0.552742616,0,0.6116504854,0.75,0.8461538462,0.6923076923,0.7692307692,0,0.0769230769,0.7692307692,0.587962963,0.72,0.679245283,0.935483871,0.935483871,0.8709677419,0.9677419355,0.9677419355,0.8709677419,0.9032258065,0.8387096774,0.8709677419,0.6129032258,0.9032258065,0.7272727273,0.935483871,0.5666666667,0.7,0.5666666667,0.8333333333,0.7931034483,0.8571428571,0.8275862069,0.6451612903
18529,RCM,HPD,EWNI,"INTERNAL MEDICINE, GENERAL",NTWK,1,1, ,0,0.5,0.5, ,316.2853053,1.66367713,0.8993288591,0.451458424,0.3727506427,52.59991293,78.72493573,191.4166667,32.41666667,0.0889586604,0.5230769231,0, , , ,1,0.4615384615,0.0898181628,1.764733636,0.0625,0.0628272251,0.5856966708,0.1148825065,0.3043478261,0.3325153374,0.763009218,1, , ,1,1, ,0.1448250186,1.357526882,0.6481481481,0.1775456919,0.2457221999,0,1,223.8333333,0.5639097744,0.0169491525,0.7989130435,1,0.9523809524,0.5714285714,0.8571428571,0,0,0.9047619048,0.609375,0.7454545455,0.8163265306,0.9545454545,0.9545454545,0.8409090909,0.8863636364,0.9090909091,0.9069767442,0.8863636364,0.75,0.8636363636,0.7954545455,0.9772727273,1,0.9090909091,0.675,0.7222222222,0.4761904762,0.9534883721,0.95,0.95,0.8139534884,0.8636363636
18530,RCM,HPD,EWNI,"INTERNAL MEDICINE, GENERAL",NTWK,1,0.5, ,0,0.5,0.25, ,454.8325224,0.6604823748,0.9545454545,0.4712509713,0.5660377358,47.38189588,68.61320755,214.5,8.833333333,0.1157943492,0.8139534884,0, , , ,0,0.6111111111,0.0977661597,0.652863698, ,0.1076124082,0.5555555556,0.0842815002,0.1408450704,0.3150684932,0.7473726758,0.6666666667, , ,1,1,0,0.0395522388,0.6720142602,0.5555555556,0.1918308146,0.2066115702,0, ,223.3333333,0.5590551181,0,0.6881188119, ,0.8125,0.5625,0.75,0,0,0.9375,0.59375,0.676056338,0.6849315068,0.7586206897,0.8275862069,0.724137931,0.8620689655,0.7931034483,0.6896551724,0.7586206897,0.8620689655,0.8275862069,0.6551724138,0.9310344828,0.5714285714,0.6896551724,0.7037037037,0.6538461538,0.5555555556,0.9259259259,0.84,0.88,0.6428571429,0.7586206897
18531,FAM,HPD,CWA,FAMILY MEDICINE,NTWK,1,0.4545454545,0.2727272727,0.3333333333,0.8333333333,0.5,1,259.2148128,1.806845966,1.56,0.4748396645,0.4572864322,34.92698569,68.45226131,675.6666667,16.58333333,0.1820415291,0.0625,0, ,1,0.6,0.125,0.3913043478,0.2057611949,1.898741032,0.1956947162,0.0917607708,0.2449479486,0.0784406589,0.2903225806,0.1391484943,0.6830889541,0.5,0.5,0.3913043478,0.3653846154,1,0.4285714286,0.0239557,1.799525504,0.4320987654,0.1702014297,0.1762369086,0.125, ,692.25,0.5928677563,0.0243902439,0.6625874126,0.9428571429,0.962962963,0.5555555556,0.6296296296,0,0,0.8518518519,0.6069730586,0.7633587786,0.7878787879,0.914893617,0.9787234043,0.7872340426,0.914893617,0.914893617,0.7872340426,0.8510638298,0.8085106383,0.8510638298,0.6595744681,0.9130434783,0.7692307692,0.914893617,0.5333333333,0.6279069767,0.4666666667,0.8043478261,0.9302325581,0.9090909091,0.7608695652,0.8510638298
18532,NON,HPD,-,PEDIATRICS,-, , , , , , , ,21.88171296,4.4, ,0.6064814815, ,10.77314815, ,21.6, ,0.1551991723, , , , ,1, ,1,0.1429166667,5.001945525, , , , , ,0.0606060606,0.8461538462, , , , , , ,0,4.4, , , , , ,21.6,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18533,JEL,HPD,CWA,FAMILY MEDICINE,NTWK,0.875,0.375,0,0,0.6,0.6,0.5,274.3193241,1.967505241,1.086956522,0.463856471,0.3913934426,39.36631249,67.61680328,956.8333333,40.66666667,0.2414221962,0.4203758655,0, ,1,0.4285714286,0.2666666667,0.423255814,0.2857987975,1.924423075,0.1219512195,0.0752484767,0.2012578616,0.0773387122,0.2721088435,0.1434253045,0.7410461828,0.652173913, ,0.2727272727,0.2805755396,0.8333333333,0.2727272727,0.0407685881,1.890057361,0.3193318595,0.1525871889,0.1593984962,0.2, ,997.5,0.5166340509,0.0103092784,0.614744352,0.85,0.7878787879,0.3939393939,0.7575757576,0,0,0.8787878788,0.5514780836,0.6683673469,0.7756097561,0.6382978723,0.6170212766,0.5957446809,0.7446808511,0.6595744681,0.6170212766,0.6666666667,0.6382978723,0.7608695652,0.6382978723,0.7446808511,0.4285714286,0.5869565217,0.6888888889,0.6818181818,0.7111111111,0.7441860465,0.7179487179,0.7380952381,0.6666666667,0.7446808511
18535,CWM,HPD,CWA,PEDIATRICS,NTWK, , , , , , , , , , , , , , , , , , , , , , , ,0.6666666667, , , , , , , , ,0.2564102564, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,0.6666666667,0.6666666667,0.6666666667,1, ,0.6666666667,0.5,1,1,1,1,1,0.5,0.6666666667
18536,RCM,HPD,EWNI,"INTERNAL MEDICINE, GENERAL",NTWK,1,0.5, , , , , ,263.0604796,1.156363636,0.4090909091,0.4431543299,0.5384615385,43.01935172,74.75524476,172.25,11.91666667,0.1509433962,0.75,0, , , , ,0.5263157895,0.1730095589,1.224484127, ,0.0577067344,0.4166666667,0.0990849216,0.3051643192,0.2466422466,0.7330530741,1, , ,0.4285714286,1,0,0.0647058824,0.9752066116,0.4166666667,0.156612529,0.1733102253, ,1,184.1666667,0.5454545455,0,0.7016129032, ,0.9230769231,0.3846153846,0.8461538462,0,0,0.8461538462,0.5679012346,0.5483870968,0.7111111111,0.7916666667,0.625,0.6666666667,0.6666666667,0.652173913,0.5652173913,0.7083333333,0.6956521739,0.8260869565,0.7916666667,0.9565217391,0.5,0.625,0.4347826087,0.4545454545,0.4782608696,0.7391304348,0.9545454545,0.9130434783,0.7391304348,0.875
18537,YFT,HPD,CWA,PEDIATRICS,NTWK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.6666666667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18538,LMA,HPD,CWA,"INTERNAL MEDICINE, GENERAL",NTWK, , , ,0.5,1,1, ,417.3465815,1.96797153,1.911392405,0.5189096267,0.3903133903,49.99066798,69.9002849,339.3333333,29.25,0.235758701,0.5817932923,0, , , ,0.6666666667,0.3463687151,0.2311587906,1.927294904,0.03125,0.1945009283,0.1411930815,0.1122135601,0.2124711316,0.2151376147,0.6290301181,0.6666666667, , ,0.1818181818,1,0.4,0.0793579019,1.96099844,0.1709401709,0.3064863113,0.2957295567,0.3333333333, ,368.5833333,0.5111111111,0,0.6927710843, ,0.9069767442,0.488372093,0.7209302326,0,0,0.7441860465,0.5694444444,0.6352941176,0.7733333333,0.6976744186,0.7441860465,0.5813953488,0.7906976744,0.6744186047,0.6046511628,0.7441860465,0.7441860465,0.8837209302,0.8604651163,0.85,0.6,0.6976744186,0.4390243902,0.7027027027,0.4390243902,0.8536585366,0.8571428571,0.8611111111,0.725,0.976744186
18539,RCM,HPD,EWNI,PEDIATRICS,NTWK,0.5,0,0.1428571429,0,0,0, ,120.4397485,5.10877193, ,0.4499481328,1,10.54045643,25,642.6666667,1,0.3345418333, ,0, ,0.9736842105,0.6875,0.5,0.6617647059,0.3360061406,4.744968792, ,0.0079344089, ,0.0313922461, ,0.0291648255,0.3830357143, ,0.2631578947,0.5928571429,0.3356401384,1,0.4482758621,0.0003888529,5.10877193, ,0.0398162328,0.0397997765,0.5, ,642.9166667,0.5549805951, ,0.5697050938,0.8875739645,0.5,0,0,0,0,0.5,0.4042553191,1,0.8,0.5714285714,0.7142857143,0.7142857143,0.7142857143,0.7142857143,0.8571428571,0.8571428571,0.8571428571,0.8571428571,0.7142857143,0.7142857143,1,0.8571428571,0.5,0.3333333333,0.25,0.75,1,1,0.75,0.7142857143
18540,CFC,HPD,CWA,FAMILY MEDICINE,NTWK,1,1, ,0,1,1, ,311.7111172,2.316666667,0.3333333333,0.4377682403,0,47.08869814,68.61538462,58.25,2.166666667,0.1198630137,1, , ,1, , ,0.3333333333,0.095770449,2.655401328, ,0.0610687023,1,0.0347826087,0,0.0511811024,0.637755102,0,0, ,1,1, ,0.035862069,2.222222222,1,0.0988956651,0.1346801347, ,1,60.41666667,0.5555555556,0,0.6734693878,1,1,0.3333333333,1,0,0,0.6666666667,0.5517241379,0.6153846154,0.6,1,0.8,0.9,1,0.9,0.8888888889,0.8,0.5,0.9,0.6,1,1,1,0.7,0.5555555556,0.3,1,1,1,0.9,0.9
18542,JWL,HPD,CWA,FAMILY MEDICINE,NTWK,0.6666666667,0,0, , , , ,258.9544197,3.537313433,1.84,0.5246366537,0.38,40.97624956,71.38,235.0833333,8.333333333,0.2467245193,0.375,0, , ,0,0.3333333333,0.1228070175,0.2403083797,4.161746509, ,0.0506799561, ,0.0889340617,0.23,0.1506382979,0.7162097162,0.6666666667,0,0.75,0.4615384615,0.75,0.2,0.0342348511,3.349557522, ,0.1406949478,0.135852785,0.3333333333, ,243.4166667,0.5375,0,0.6256157635,0.8,0.8888888889,0.2222222222,0.8888888889,0,0,0.8333333333,0.5868544601,0.625,0.6226415094,0.90625,0.8125,0.84375,0.875,0.90625,0.78125,0.78125,0.6875,0.90625,0.71875,1,0.75,0.875,0.5517241379,0.7037037037,0.6,0.875,0.9259259259,0.9285714286,0.8387096774,0.84375
18543,NON,HPD,-,FAMILY MEDICINE,-, , , , , , , ,276.5345488,2.305084746,1,0.446728972,0.25,37.45420561,71.5,89.16666667,2,0.1906470786, , , , , , ,0.2183908046,1.285,1.88852884, ,0.0890868597, ,0.0861538462,0.4,0.3872180451,0.6272855134, , , , , , ,0.014732965,2.262295082, ,0.1741803279,0.1717171717, , ,90.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18544,KVP,HPD,CWA,FAMILY MEDICINE,NTWK, , , , , , , ,150.19, , ,1, ,32.6, ,1, , , , , , , , ,0.6825396825, , , , , , , ,0,0.8421052632, , , , , , ,0, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18545,JMF,HPD,EWNI,FAMILY MEDICINE,NTWK, , , , , , , ,36.99, , ,0.6666666667, ,25.66666667, ,1, , , , , , , , ,0.8333333333, , , , , , , ,0,0.8533333333, , , , , , ,0, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18547,CWM,HPD,CWA,FAMILY MEDICINE,NTWK, , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , ,0.7523809524, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0.3333333333,1,1,0.3333333333,0.5,0.6666666667,0.6666666667,0.6666666667,1,1,1,0.6666666667,0.3333333333,0.6666666667,0.6666666667,0.3333333333,0.3333333333,0.6666666667,0.6666666667
18548,NON,HPD,-,CONSULTATIVE INTERNAL MEDICINE,-, , , , , , , ,244.3665385,2.5, ,0.5641025641, ,31.76923077, ,78, ,0.0512820513, , , , , , ,0.5, , , ,0.0256410256, , , ,0.0740740741,0.8695652174, , , , , , ,0,2.5, ,0.0256410256,0.0256410256, , ,78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18549,ASF,HPD,EWNI,FAMILY MEDICINE,NTWK,0.6666666667,0.6666666667, ,0,1,1, ,234.7605197,2.748538012,1.285714286,0.5053238687,0.3333333333,37.96273292,66.27777778,187.8333333,3,0.1284040447, ,0, ,1,1, ,0.7948717949,0.155355334,2.618497805,0.3333333333,0.0375133976,0.3333333333,0.0106951872,0.1111111111,0.3612637363,0.7260089686,1, ,0.3333333333,0.2307692308,0.6666666667,0.4285714286,0.015720524,2.691011236,0.6666666667,0.0480846289,0.0575494402, ,1,190.8333333,0.5585106383,0,0.6558441558,0.8888888889,0.75,0.4166666667,0.75,0,0,0.9166666667,0.5847953216,0.7575757576,0.8235294118,0.724137931,0.8275862069,0.6896551724,0.8965517241,0.8965517241,0.6551724138,0.6896551724,0.724137931,0.8275862069,0.6551724138,0.8965517241,0.6666666667,0.7586206897,0.5384615385,0.68,0.5384615385,0.9230769231,0.9583333333,0.9565217391,0.6923076923,0.6896551724
18550,CAP,HPD,EWNI,PEDIATRICS,NTWK,1,1,0, , , ,0.5,124.5109502,11.95652174, ,0.4672897196, ,8.547507788, ,107, ,0.1685393258, ,0, ,0.8333333333,0.6666666667, ,0.8823529412,0.1722374429,14.66747691, , , ,0.028436019, ,0,0.5086206897, ,1,0.4285714286,0.3333333333,1,0,0,11.95652174, ,0.028436019,0.028436019, , ,107,0.5, ,0.5243902439,0.7857142857, , , , , , ,0.3709677419, ,1,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.2,0.7,0,0.4,0.3,0.4,0.2,0.8,0.8,0.9,0.5,0.3
18551,KAC,HPD,CWA,FAMILY MEDICINE,NTWK,0.6666666667,0, ,0,0,0, ,362.7358702,1.533783784, ,0.6641221374, ,34.82442748, ,109.1666667, ,0.3486238532, , , , ,0, ,0.3536585366,0.3276822073,1.25, ,0.0964912281, ,0.0992779783, ,0.1724770642,0.7212837838,1, , ,0,1,0.5,0,1.533783784, ,0.1929824561,0.1929824561, , ,109.1666667,0.4661654135,0,0.5405405405,0.75,1,0.1666666667,1,0,0,0.8333333333,0.5080645161,0.6,0.8,0.7419354839,0.7741935484,0.6774193548,0.8064516129,0.7741935484,0.6774193548,0.6774193548,0.6129032258,0.7741935484,0.5483870968,0.4444444444,0.5,0.6129032258,0.2903225806,0.2903225806,0.3,0.6774193548,0.8064516129,0.8709677419,0.5483870968,0.7096774194
18552,MOF,HPD,EWNI,FAMILY MEDICINE,NTWK, , ,0, , , , ,270.5127241,2.835443038,13,0.7247542449,1,33.40393208,71.76666667,93.25,2.5,0.2248394004, , , , ,0, ,0.6440677966,0.2774360635,2.298331798, ,0.0215053763, ,0.0425531915,0.2222222222,0.1473087819,0.7143864598,1,0,0.4,0.3125,1,0.3333333333,0.0261096606,2.9625, ,0.06405466,0.0627155848, , ,95.75,0.5348837209,0,0.575,0.75,1,1,1,0,0,1,0.5227272727,0.5652173913,0.64,0.84,0.92,0.76,0.84,0.88,0.68,0.72,0.72,0.84,0.72,0.875,0.8571428571,0.76,0.4285714286,0.4761904762,0.2173913043,0.8333333333,0.6666666667,0.75,0.652173913,0.8333333333
18553,YFG,HPD,CWA,FAMILY MEDICINE,NTWK,1,1, , , , , ,150.6370326,3.6,0.7142857143,0.6953846154,1,30.24307692,65.91666667,27.08333333,1,0.2721088435, ,0, , , , ,0,0.1372,3.1425, ,0.1224489796, ,0.0625,0,0.0952380952,0.6538461538, ,0,0.6,0, , ,0.0356083086,2.681818182, ,0.1851851852,0.1785714286, , ,28.08333333,0.5925925926,0,0.6363636364,1,1,0.5,0.5,0,0,1,0.5555555556,0.5,0.6, , , , , , , , , , , , , , , , , , , , , 
18554,SLC,HPD,CWA,FAMILY MEDICINE,NTWK, , , , , , , , , , ,1, ,14, ,1, , , , , , , , ,0.6666666667, , , , , , , , ,1, , , ,0, , ,0, , , , , , ,1,0, ,0, , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , 
18555,BWH,HPD,NWD,"INTERNAL MEDICINE, GENERAL",NTWK, , , ,0,0.5,0, ,780.4130951,2.21978022,1.134020619,0.4114832536,0.4801670146,50.06339713,75.88935282,69.66666667,39.91666667,0.1854229069,0.3989030167, , , , ,0,0.4193548387,0.1554380665,2.122914748,0.202020202,0.1031991744,0.6467661692,0.0555555556,0.2088285229,0.1644562334,0.7339918256,0.875, , , ,0,1,0.3642585551,1.480701754,0.85,0.1582733813,0.4106588794,0,1,109.5833333,0.4661016949,0,0.6626506024, ,1,0.5555555556,0.8888888889,0,0,0.8888888889,0.5267857143,0.7619047619,0.5263157895,0.8363636364,0.8363636364,0.8,0.8727272727,0.8888888889,0.6981132075,0.8181818182,0.7142857143,0.7636363636,0.7272727273,1,0.8333333333,0.8214285714,0.6296296296,0.62,0.5555555556,0.8888888889,0.7692307692,0.9,0.7222222222,0.7857142857
18556,YNH,HPD,CWA,"INTERNAL MEDICINE, GENERAL",NTWK, , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18557,WMF,HPD,EWNI,FAMILY MEDICINE,NTWK,1,0.75,0,1,1,1, ,336.3435213,4.423566879,2.365853659,0.5892928486,0.6298701299,33.1242509,71.04545455,417.1666667,12.83333333,0.225327804,0.1666666667,0, ,0.6,0.9,0.5,0.2446808511,0.2179604907,4.121203194,0.546875,0.1270465278,0.3244120032,0.1007846807,0.1694915254,0.1527995814,0.6873804971,1, ,0.6,0.5319148936,1,0.3125,0.0298449612,4.185915493,0.8681925809,0.2277249083,0.2465116279,0.5, ,430,0.5775656325,0,0.656424581,0.85,1,0.5454545455,0.8181818182,0,0,0.8181818182,0.5552825553,0.5795454545,0.6990291262,0.75,0.7916666667,0.625,0.8333333333,0.8333333333,0.5,0.6956521739,0.5833333333,0.8333333333,0.8260869565,0.9130434783,0.5833333333,0.9130434783,0.75,0.7083333333,0.5,1,0.8260869565,0.8695652174,0.75,0.7391304348
